상품명,가격,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,행사 정보,편의점 코드,이미지 주소
비요뜨초코팝,"1,800",음료,143,220,7,8,30,80,2+1,3,https://www.7-eleven.co.kr/upload/product/8801115/213703.1.jpg
비요뜨그래놀라,"1,800",음료,282,195,7,7,26,100,2+1,3,https://www.7-eleven.co.kr/upload/product/8801115/213802.1.jpg
미숫가루우유,"1,700",음료,300,200,7,4.3,33,85,2+1,3,https://www.7-eleven.co.kr/upload/product/8801189/205338.1.jpg
스트로베리요거트,"2,300",음료,180,175,4.5,5.3,27,75,2+1,3,https://www.7-eleven.co.kr/upload/product/8801753/110976.1.jpg
비요뜨초코링,"1,800",음료,286,205,6,8,27,100,2+1,3,https://www.7-eleven.co.kr/upload/product/8801115/212713.1.jpg
오리지널후랑크,"2,500",식품,500,285,12,25,3,700,2+1,3,https://www.7-eleven.co.kr/upload/product/8801077/684009.1.jpg
휠터치커플,"3,600",식품,160,240,11,14,17,600,2+1,3,https://www.7-eleven.co.kr/upload/product/8801066/011588.1.jpg
크런키,"1,200",과자,34,185,3,11,20,35,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/628476.1.jpg
가나초코바,"1,000",과자,50,240,5,12,28,45,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/628773.1.jpg
땅콩강정,"1,500",과자,80,373,8,13,56,220,2+1,3,https://www.7-eleven.co.kr/upload/product/8801117/761806.1.jpg
가나마일드,"1,200",과자,70,390,6,24,38,45,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/636884.1.jpg
가나밀크,"2,400",과자,70,390,6,23,38,55,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/636846.1.jpg
땅콩캬라멜,"2,000",과자,350,419,4,11,76,140,2+1,3,https://www.7-eleven.co.kr/upload/product/8801111/912075.1.jpg
생미쉘빨레뜨,"3,900",과자,150,511,6,27,61,500,2+1,3,https://www.7-eleven.co.kr/upload/product/3023470/020016.1.jpg
롯데샌드,"1,600",과자,52,275,2,15,33,105,2+1,3,https://www.7-eleven.co.kr/upload/product/8801062/870509.1.jpg
