상품명,카테고리,가격,행사 정보,중량,칼로리,탄수화물,단백질,지방,나트륨,편의점 코드,이미지 주소
트롤리키스,과자,"2,500
",,200,340,80,5,0,80,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8436556395932.jpg
조안나팝콘,과자,"2,000
",,65,315,51,3,11,250,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801062880591.jpg
후룻바틀파인애플,식품,"8,000
",,666,40,10,0,0,0,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809069305826.jpg
후레쉬베리,간편식사,"3,600
",2+1,336,127,15,1,7,50,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117540210.jpg
꾀돌이,간편식사,"700
",,900,436,76,12,12,264,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809036521228.jpg
밭두렁,과자,"700
",,45,118,26,2,1,78,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809440480340.jpg
사또밥,과자,"1,500
",,67,170,17,1,11,40,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073310711.jpg
댄케이크버터쿠키,과자,"800
",,200,1019,127,10.8,52,200,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0656368002974.jpg
고소미,과자,"1,200
",,216,93,11,1,5,55,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801117282806.jpg
감자품격트러플,과자,"2,000
",,48,200,41,0,3.6,380,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111937832.jpg
오븐에구운도넛,간편식사,"1,200
",2+1,400,175,26,2,7,100,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068377705.jpg
카스테라롤,간편식사,"2,200
",,125,470,61,7,22,280,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068377415.jpg
별뽀빠이,과자,"800
",,288,335,53,6,11,220,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073310704.jpg
포키,과자,"1,700
",,46,225,30,4,4,160,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019314001.jpg
쫄병짜파게티맛,과자,"1,200
",,77,150,18,2,8,250,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043048774.jpg
에스키모밥,과자,"1,500
",,60,145,21,2,6,180,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801043045346.jpg
꽃게랑,과자,"1,700
",,70,165,19,2,9,210,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801111770132.jpg
포키극세,과자,"1,700
",,150,225,28,4,11,150,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801019309946.jpg
밀카오레오,과자,"2,900
",,92,475,55,5.7,25.5,225,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/7622210262202.jpg
