상품명,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,가격,행사 정보,편의점 코드,상품 이미지
유바 샤오마이,만두,500,91,12,1.4,8,540,,,,
중국식 라비올리,만두,300,146,9,1.4,24,392,,,,
차이브 덤플링,만두,1000,162,8,6.1,19,383,,,,
프림 쇼트닝,쇼트닝,15000,900,0,100,0,0,,,,
올리오 디 올리바 오일,올리브유,5000,824,0,91.6,0,0,,,,
올리오 엑스트라 버진 디 올리바,올리브유,1000,824,0,91.6,0,0,,,,
올리베티 데 코라토 올리오 엑스트라 버진 디 올리바 바이오,올리브유,500,828,0,92,0,0,,,,
엑스트라버진 올리브 오일,올리브유,500,824,0,91.6,0,0,,,,
레몬 마멀레이드,잼,360,48,0,0,12,0,,,,
블러드오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
비터오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
오렌지 앤 시나몬 마멀레이드,잼,360,48,0,0,12,0,,,,
포도즙으로 만든 딸기 오렌지 잼,잼,360,48,0,0,12,0,,,,
포도즙으로 만든 레몬 마멀레이드,잼,360,48,0,0,12,0,,,,
포도즙으로 만든 블러드오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
이리아다 엑스트라버진 올리브유,올리브유,1000,819,0,91,0,0,,,,
이리아다 유기농 엑스트라버진 올리브오일 피디오,올리브유,500,819,0,91,0,0,,,,
이리아다 유기농 엑스트라버진 올리브유,올리브유,500,819,0,91,0,0,,,,
파인 프렌치 빈스,과/채가공품,2270,30,1,0,6,0,,,,
블리스 딸기 넥타,과/채음료,1000,46,0,0,11.5,0,,,,
블리스 레몬 넥타,과/채음료,1000,44.8,0,0,11.2,0,,,,
블리스 복숭아 넥타,과/채음료,1000,48,0,0,12,0,,,,
블리스 블랙커런트 넥타,과/채음료,1000,44,0,0,11,0,,,,
블리스 사과 쥬스,과/채주스,1000,44.8,0,0,11.2,0,,,,
블리스 사과 쥬스 음료,과/채음료,1000,44.8,0,0,11.2,0,,,,
블리스 살구 넥타,과/채음료,1000,48,0,0,12,0,,,,
블리스 석류 쥬스,과/채주스,1000,56,0,0,14,0,,,,
블리스 석류-체리-자두 넥타,과/채음료,1000,47.2,0,0,11.8,5.3,,,,
블리스 오렌지 넥타,과/채음료,1000,44.8,0,0,11.2,22,,,,
블리스 와일드베리 넥타,과/채음료,1000,46,0,0,11.5,0,,,,
블리스 체리,과/채음료,1000,48,0,0,12,0,,,,
블리스 체리-블랙커런트 넥타,혼합음료,1000,44.8,0,0,11.2,10.5,,,,
블리스 토마토쥬스 음료,과/채음료,1000,22,0,0,5.5,50,,,,
블리스 파인애플 넥타,과/채음료,1000,50.4,0,0,12.6,22,,,,
스트로베리 스프레드,잼,750,225,0.5,0.3,55,12,,,,
가타유기농 엑스트라버진 올리브유,올리브유,500,16.65,0,1.85,0,0,,,,
엑스트라버진 올리브유 갈릭향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 레몬향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 바질향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 버섯향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 오렌지향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 칠리향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 커피향,향미유,250,41.85,0,4.65,0,0,,,,
유기농 엑스트라버진 올리브유,올리브유,500,16.65,0,1.85,0,0,,,,
유기농 엑스트라버진 올리브유(리미티드 에디션 레전드),올리브유,500,16.65,0,1.85,0,0,,,,
유기농키즈 엑스트라버진 올리브유,올리브유,250,16.65,0,1.85,0,0,,,,
세퍼레이트,혼합식용유,18000,900,0,100,0,0,,,,
크릴오일,어유,200000,8.4,0,99.06,0,0.16,,,,
메트릭스골드,음료베이스,525,250,0,0,62.6,11.2,,,,
몽스아이스버그,캔디류,3000,390,0,0,98,50,,,,
술탄 터키쉬딜라이트 위드 초콜릿,캔디류,5000,396,3.6,7.2,80,0,,,,
제제르예 헤이즐넛,캔디류,5000,396,3.6,7.2,80,0,,,,
터키쉬 딜라이트 위드 로즈아로마,캔디류,5000,370,0,0,93,0,,,,
"터키쉬 딜라이트 위드 믹스아로마(레몬향,오렌지향,로즈향,사과향)",캔디류,5000,368,0,0,92,0,,,,
터키쉬 딜라이트 위드 피스타치오,캔디류,5000,396,3,7,80,0,,,,
"터키쉬딜라이트 (로즈향, 바나나향, 키위향, 석류향)",캔디류,5000,271,2.07,0,67.3,277,,,,
"터키쉬딜라이트 미니 (로즈향, 레몬향, 민트향, 오렌지향)",캔디류,5000,368,0,0,92,0,,,,
"터키쉬딜라이트 피스타치오, 장미잎 (석류향)",캔디류,5000,372,0,0,92,0,,,,
"터키쉬딜라이트 피스타치오,코코넛",캔디류,5000,396,3.6,7.2,80,0,,,,
"터키쉬딜라이트 헤이즐넛, 피스타치오, 아몬드",캔디류,5000,372,0,0,92,0,,,,
터키쉬딜라이트 호두 무화과,캔디류,5000,168,0,0,38,0,,,,
12 플레이버구미,캔디류,2260,292,3,0,70,33,,,,
꽃모양구미,캔디류,2260,292,3,0,70,33,,,,
레드라스베리향구미,캔디류,2260,292,3,0,70,33,,,,
미니버터플라이구미,캔디류,2260,300,5,0,70,38,,,,
복숭아향구미링,캔디류,2040,304,3,0,73,33,,,,
블루라스베리향구미,캔디류,2260,292,3,0,70,33,,,,
사우어구미베어,캔디류,2040,292,3,0,70,35,,,,
사우어네온웜즈구미,캔디류,2040,292,3,0,70,33,,,,
사우어미니네온구미웜즈,캔디류,141.7,304,3,0,73,17,,,,
상어모양구미,캔디류,2260,292,3,0,70,35,,,,
수박향구미링,캔디류,141,312,5,0,73,25,,,,
스푹테큘러믹스구미,캔디류,2260,292,3,0,70,35,,,,
아미가이즈구미,캔디류,2260,280,3,0,67,35,,,,
애플링구미,캔디류,2040,304,3,0,73,35,,,,
어솔티드후르츠향구미베어,캔디류,141.7,292,3,0,70,33,,,,
어솔티드후르츠향웜즈구미,캔디류,2260,292,3,0,70,33,,,,
요구르트맛말트볼,캔디류,4530,500,10,20,70,100,,,,
제트파이터구미,캔디류,2260,292,3,0,70,33,,,,
파파베어구미,캔디류,2260,292,3,0,70,33,,,,
핑크그레이프후르츠베어구미,캔디류,2260,292,3,0,70,35,,,,
호박모양구미,캔디류,2260,292,3,0,70,35,,,,
알베르잔 믹스 과일 젤리 (109065),캔디류,200,320,0,0,80,250,,,,
알베르잔 밀크 앤 허니 캔디 (2073),캔디류,200,360,0,0,90,0,,,,
알베르잔 솔눈향 캔디 (2083),캔디류,200,360,0,0,90,0,,,,
알베르잔 스트로베리향 캔디 (108921),캔디류,200,360,0,0,90,0,,,,
알베르잔 허니 앤 레몬 캔디 (2093),캔디류,200,360,0,0,90,0,,,,
노바판나,기타가공품,11000,170,8.5,6,20.5,0.5,,,,
프론토프룻타 레몬,당류가공품,5000,221,0.75,2,58,0,,,,
프론토프룻타 망고,기타가공품,5000,127.5,0.5,1.5,28,1,,,,
프론토프룻타 바나나,기타가공품,5000,136.3,0.5,1.5,30.2,1,,,,
프론토프룻타 스트로베리,기타가공품,5000,124.3,0.5,1.5,27.2,1,,,,
유기농 다이노스 키즈용 파스타,건면,300,345,12,1.7,72,0,,,,
유기농 사파리 키즈용 파스타,건면,300,345,12,1.7,72,0,,,,
유기농 오션 키즈용 파스타,건면,300,345,12,1.7,72,0,,,,
복숭아 넥타,과/채음료,1000,45,0.5,0.1,11,0,,,,
사과넥타,과/채음료,1000,45,0.5,0.1,11,0,,,,
체리넥타,과/채음료,1000,50,0.2,0,12,0,,,,
크랜베리워터드링크,과/채음료,1000,50,0,0,12,0,,,,
토마토주스,과/채주스,1000,20,1,0.1,3.5,0.6,,,,
솔레르 로메로 유기농 엑스트라버진 올리브 오일 아르베키나(250ml),올리브유,250,815,0,90.6,0,0,,,,
솔레르 로메로 유기농 엑스트라버진 올리브 오일(250ml),올리브유,250,824,0,91.6,0,0,,,,
솔레르 로메로 유기농 엑스트라버진 올리브 오일(FIRST DAY),올리브유,500,824,0,91.6,0,0,,,,
알치네로 유기농 딸기잼,잼,270,188,0.7,0,45,8,,,,
알치네로 유기농 별모양 베이비용 파스타,건면,500,356,0,91.6,0,0,,,,
알치네로 유기농 블루베리 잼,잼,270,197,0.6,0,45,8,,,,
알치네로 유기농 파스타 마카로니,건면,250,350,12.1,1.5,72,0,,,,
알치네로 유기농 파스타 삼색 푸질리,건면,250,350,12,1.2,74.5,50,,,,
알치네로 유기농 파스타 파팔레,건면,250,350,12.1,1.5,72,0,,,,
알치네로 유기농 파스타 펜네,건면,250,350,12.1,1.5,72,0,,,,
딸기 필링,기타잼,2700,115,0,0,29,69,,,,
필링애플,기타잼,2700,31,0,0,7.8,26,,,,
델라 마카로니,건면,500,367,11,1.7,76.9,0,,,,
리터 딸기 요거트 큐브 (7.44kg),준초콜릿,7440,570,7,39,48,85,,,,
리터 블랙커런트 요거트 큐브 (7.44kg),준초콜릿,7440,560,6,36,53,65,,,,
리터 스포트 알파인 밀크 초콜릿,밀크초콜릿,250,547,8,32,55,70,,,,
리터 요거트 큐브 (7.44kg),준초콜릿,7440,590,7,41,48,90,,,,
리터 초코 크리스피 큐브 (7.44kg),준초콜릿,7440,565,6,37,52,120,,,,
리터 초코큐브 땡큐 (176g),준초콜릿,176,575,6.6,39,49,90,,,,
리터 초코큐브 초콜릿믹스 (176g),준초콜릿,176,570,6.9,38,50,90,,,,
리터 초코큐브 초콜릿믹스 (176g),준초콜릿,176,565,6.5,37,51,110,,,,
리터 초콜릿무스 큐브 (7.44kg),밀크초콜릿,7440,565,7,39,47,110,,,,
리터 카카오셀렉션 스무스 55% (10kg),초콜릿,10000,580,8.5,45,35,55,,,,
리터 카카오셀렉션 인텐스 74% (10kg),초콜릿,10000,585,7,50,27,5,,,,
리터 카카오셀렉션 파인 61% (10kg),초콜릿,10000,585,5.6,45,40,5,,,,
리터 파인 밀크초콜릿 (10kg),밀크초콜릿,10000,560,7,48,48,80,,,,
주스 엑스트라 버진 올리브유 5L,올리브유,5000,839,0,93.2,0,0,,,,
주스 퓨어 올리브유 (5L),올리브유,5000,839,0,93.2,0,0,,,,
산 루카스 엑스트라 버진 아보카도 오일(1L),기타식물성유지,1000,837,0,93,0,0,,,,
까사 리날디 화이트 트러플 오일,향미유,100,828,0,92,0,0,,,,
콘디멘토 콘 올리오 엑스트라버진 디 올리바 아로마티자토 알 구스토 타르투포,향미유,100,828,0,92,0,0,,,,
트러플 엑스트라버진 올리브오일,향미유,250,828,0,92,0,0,,,,
노니 주스,과/채주스,50000,35.2,0,0,8.8,25,,,,
알카파이프리미엄,혼합음료,500,0,0,0,0,0,,,,
망고 남홈 코코넛 스위튼 아이스,빙과,2500,104,0,3,21,59,,,,
블루베리 남홈 코코넛 스위튼 아이스,빙과,2500,110,0,1,25,40,,,,
블루베리 남홈 코코넛 스위튼 아이스,빙과,2500,128,0,1,29,47,,,,
스트로베리 남홈 코코넛 스위튼 아이스,빙과,2500,128,0,2,28,59,,,,
초콜릿 남홈 코코넛 스위튼 아이스,빙과,2500,139,1,2,27,47,,,,
커피 남홈 코코넛 스위튼 아이스,빙과,2000,127,1,2.5,21,50,,,,
알로스 유기농 딸기 잼,잼,250,97,0.5,0.3,23,24,,,,
알로스 유기농 라즈베리 잼,잼,250,101,0.5,0.8,22.9,24,,,,
알로스 유기농 망고 잼,잼,250,117,0.5,0.7,27.1,24,,,,
알로스 유기농 망고 잼,잼,250,116,0.5,0.7,27,24,,,,
알로스 유기농 자두 잼,잼,250,119,0.5,0.2,28.9,24,,,,
알로스 유기농 포레스트 프룻 잼,잼,250,101,0.7,0.6,23.2,24,,,,
링콘델라수베티카 엑스트라버진올리브오일,올리브유,250,888,0,100,0,0,,,,
체리페퍼 위드 스파이시 크림치즈,기타가공품,170,130,3.3,6.9,12.1,470,,,,
페타 치즈 허브 엔 스파이스,기타가공품,280,343,25,27,0.5,510,,,,
센톡,음료베이스,300,220,6,4,40,0,,,,
엑스트라버진 올리브오일,올리브유,500,800,0,93,0,0,,,,
올리브포마스오일,올리브유,5000,820,0,84,0,0,,,,
로우베이크 파네토네,빵류,1000,368,7.5,14,53,400,,,,
베로니즈 판도로,빵류,1000,421,9,21,49,680,,,,
체리앤초콜릿 파네토네,빵류,900,384,6.5,18,49,480,,,,
초콜릿 파네토네,빵류,850,393,7,17,53,450,,,,
톨베이크 파네토네,빵류,100,370,7,14,54,500,,,,
판도로,빵류,80,410,8.3,21,47,680,,,,
와플 위드 바닐라크림,빵류,50,194,2,6,30,99,,,,
사과 착즙주스,과/채주스,750,49,0,0,12.3,5,,,,
오렌지착즙주스 (1 L),과/채주스,1000,50,1,0,11,0,,,,
포도착즙주스 (1 L),과/채주스,1000,65,1,0,16,25,,,,
AMEKONG 노니주스,과/채주스,500,32,0,0,8,25,,,,
마스터 오브 믹스 피나콜라다,과/채음료,1000,185,0,1.3,43,65,,,,
마스터 오브 믹스 피나콜라다,과/채음료,1000,183,0,1.2,43,80,,,,
파이니스트 콜 레드상그리아,과/채음료,1000,150,0,0,38,10,,,,
파이니스트 콜 코스모폴리탄,과/채음료,1000,125,0,0,31,10,,,,
아몬드 프로틴 파우더 블랑,땅콩 또는 견과류가공품,24950,410,44.36,11.78,32.2,61.9,,,,
4D 블록 젤리,캔디류,500,324,7,0,74,10,,,,
4D아임후르츠향젤리,캔디류,64,208,5,0,47,6,,,,
눈물나는젤리,캔디류,400,1372,24,0,319,62,,,,
블록젤리,캔디류,450,320,5,0,75,10,,,,
킹 아일랜드 코코넛워터-1000ml,과/채주스,1000,14,0,-,3.6,48,,,,
퓨어코코넛워터,과/채주스,1000,14,0,0,3.6,48,,,,
위즐커피,커피,270,71,0.2,2.7,13.72,49.3,,,,
무알콜 에페스 딸기,탄산음료,330,33,0,0,8,0,,,,
무알콜 에페스 복숭아,탄산음료,330,33,0,0,8,0,,,,
무알콜 에페스 사과,탄산음료,330,32,0,0,8,0,,,,
단백질이 풍부한 땅콩버터파우더 오리지날,땅콩 또는 견과류가공품,184,442,44,13,37,910,,,,
앤디스 밀크 초콜릿 띤,준초콜릿,132,595,10,35,60,100,,,,
시리카시리카탄산수,탄산수,500,0,0,0,0,0,,,,
포숑 로즈페탈 컨피쳐,당류가공품,365,237,0,0,59,0,,,,
포숑 밀크 컨피쳐,기타가공품,365,343,6,6,66,0,,,,
포숑 스트로베리 컨피쳐,잼,365,236,0.4,0.1,58,0,,,,
본마망 포푸르츠잼,잼,750,1765,4.5,0.8,435,0,,,,
발효 엑스트라버진 코코넛오일,야자유,500,900,0,100,0,0,,,,
프리미엄 엑스트라 버진 코코넛오일,야자유,500,900,0,100,0,0,,,,
피넛 브리틀 (2924199),캔디류,453,544,7,32,57,411,,,,
클래식 화이트 피타,빵류,6000,240,9,1,47,390,,,,
량반 국수,건면,9500,348,9,2.2,73,0,,,,
쌀국수,건면,9500,348,9,2.2,73,0,,,,
노니주스 정 600mg,캔디류,3780,374,0.8,0.4,95.8,300,,,,
레몬밤 정 600mg,캔디류,3780,358,0,3.6,85.1,200,,,,
감자당면,건면,400,345,4.3,12.6,82.1,144,,,,
강소금오당면,건면,13000,375,0,0,90,0,,,,
고구마당면,건면,12000,340,0,0,85,0,,,,
당면,건면,14000,355,0,0,88,0,,,,
당면,건면,14000,350,0,0,85,0,,,,
당면(중식용),건면,2000,350,0,0.6,86,0,,,,
동원홈푸드당면 (1kg),건면,1000,345,0,0,86,10,,,,
리얼프라이스 납작당면,건면,300,340,0,0,85,0,,,,
마왕당면(중화 납작당면) (2.5KG),건면,2500,340,0,0,85,0,,,,
만능 당면,건면,10000,340,0,0,85,0,,,,
모아당면,건면,13000,340,0,0,85,0,,,,
미소찬 찰당면,건면,13000,350,0,0.6,86,0,,,,
샤브샤브용당면,건면,300,330,0,0,82.5,18,,,,
일품당면,건면,1000,340,0,0,85,25,,,,
자른 당면,건면,500,336,0,0,84,12,,,,
중화당면,건면,2800,340,0,0,85,0,,,,
진향당면,건면,20000,375,0,0,95,0,,,,
쫄깃쫄깃 고향당면 1kg,건면,1000,340,0,0,85,0,,,,
쫄깃한 당면,건면,1000,340,0,0,85,0,,,,
한식당면,건면,1000,350,0,0,87,11,,,,
현이네중화당면,건면,2000,340,0,0,85,0,,,,
홍수계 넓은당면 14KG,건면,14000,340,0,0,85,0,,,,
홍수계 넓은당면 14kg,건면,14000,340,0,0,85,0,,,,
화미실속찰당면 (10KG),건면,10000,341,0,0.09,85,0,,,,
화미실속찰당면 (13KG),건면,13000,340.53,0.19,0.09,84.74,3.69,,,,
트램폴리니 엑스트라 버진 올리브 오일,올리브유,500,825,0,91,0,0,,,,
트램폴리니 퓨어 올리브오일,올리브유,500,820,0,91,0,0,,,,
모렐리 레드 칠리 링귀네 파스타(105325),건면,250,355,14,2.5,69,16,,,,
모렐리 렌틸 콩 푸실리 파스타(201859),건면,250,305,25,2.2,46,12,,,,
모렐리 스퀴드 잉크 푸실리 파스타(201863),건면,500,345,15,1.3,68,80,,,,
사프란 링귀니 (88183),건면,250,344,13,1.3,70,8,,,,
오징어먹물 링귀니 (83267),건면,250,344,15,1.3,68,80,,,,
올리비에 앤 코 썸머트러플 타글리오리니,건면,250,352,14,2.7,68,40,,,,
타르투포 링귀니,건면,250,362,14,2.7,68,0,,,,
파케리 파스타,건면,500,360,15,1.8,70,0,,,,
파케리 파스타,건면,250,360,15,1.8,70,8,,,,
포르치니 따글리아텔레,건면,250,361,15,2.2,69,0,,,,
프레굴라,건면,500,357,10.5,1.2,72,0,,,,
프레굴라 파스타,건면,500,357,10.5,1.2,72,0,,,,
오징어 먹물 스파게티,건면,500,366,14,1.5,74,0,,,,
벨라이탈리아 링귀네,건면,500,349,12.5,1.4,71.6,2,,,,
벨라이탈리아 스파게티,건면,500,349,12.5,1.4,71.6,2,,,,
벨라이탈리아 스파게티,건면,500,353,13,1.4,72,4,,,,
벨라이탈리아 탈리아텔레,건면,500,349,12.5,1.4,71.6,2,,,,
벨라이탈리아 탈리아텔레,건면,500,353,13,1.4,72,4,,,,
벨라이탈리아 펜네,건면,500,349,12.5,1.4,71.6,2,,,,
노니주스,과/채주스,750,28,0,0,7,67,,,,
노니주스,과/채주스,750,15,0.3,0,3.3,10,,,,
아이사제닉스 유기농 커피,커피,340,408,15,7,72,15,,,,
아이사제닉스 프리미엄 커피,커피,340,408,15,7,72,15,,,,
리파 콜라겐 드링크,혼합음료,480,160,37,0,3,214,,,,
스위트콘 콥스 1/4,곡류가공품,2500,72,3,1.9,10.6,1,,,,
그린올리브 슬라이스,과/채가공품,10000,136,1.4,14.5,0,2000,,,,
그릴드 가지 다이스,과/채가공품,10000,55,1.7,4.56,1.83,10,,,,
그릴드 가지 슬라이스,과/채가공품,1000,73,1.9,4.2,6.8,12,,,,
그릴드 레드파프리카 다이스,과/채가공품,10000,64,1.5,2.7,8.3,10,,,,
그릴드 옐로우파프리카 다이스,과/채가공품,10000,61,1.5,1.7,10,10,,,,
그릴드 파프리카 슬라이스,과/채가공품,1000,49,1.1,0.9,9,12,,,,
블랙올리브 슬라이스,과/채가공품,10000,111,1.2,10.5,2.9,1130,,,,
미니양배추,과/채가공품,1000,37,3.5,1.3,2.7,12,,,,
스위트콘,곡류가공품,1000,90,3.2,2.4,14,1.6,,,,
프리쿡 파팔레 파스타,숙면,2000,150,5,0.5,31.3,16,,,,
돈코츠 쇼유라면 스프,소스,1000,140,19,2,13,2200,,,,
바이오 라이프 매운고추,기타가공품,200,288,0.2,23,20,920,,,,
바이오 라이프 양송이버섯,기타가공품,200,289,0.4,23,20,920,,,,
바이오 라이프 파마산치즈향 모조치즈,모조치즈,235,279,1.6,17,30,1400,,,,
바이오 라이프 피자용 모짜렐라치즈향 (200g),기타가공품,200,273,0,21,21,680,,,,
바이오라이프 메디테라니언 스타일,기타가공품,200,260,1.2,15,30,1400,,,,
바이오라이프 크리미 체다치즈향,기타가공품,150,243,0.1,23,9,480,,,,
바이오라이프 피자용 모짜렐라치즈향,기타가공품,2500,273,0,21,21,680,,,,
조지아스내추럴 석류주스,과/채주스,1000,125,0,0,30,10,,,,
유기농아로니아주스,과/채주스,700,57,0.1,0.5,13,0,,,,
유기농아로니아주스(2L),과/채주스,2000,63,0.5,0.5,14,10,,,,
유기농아로니아쥬스 앤드 유기농석류쥬스,과/채주스,3000,66,0.4,0.5,15,0,,,,
스토리즈 오브 그릭 오리진스 엑스트라 버진 올리브 오일,올리브유,500,4120,0,458,0,0,,,,
디너 롤 (30776469),빵류,7200,263,8,3,51,640,,,,
치아바타 위드 그린올리브 (40582469),빵류,7000,690,22,6,137,1550,,,,
단팥 크로와상,빵류,10400,313,5.5,14.1,41.5,255,,,,
라우겐 깁펠 크레센트,빵류,2700,148.6,6,19.7,34.7,329,,,,
라우겐 샌드위치 빵,빵류,4000,245.6,7.2,2,48.8,0.45,,,,
뮤즐리 브래드,빵류,4200,242.6,7,2.7,49.2,438,,,,
미니 라우겐 샌드위치 빵,빵류,4380,245.6,7.2,2,48.8,0.45,,,,
미니 프렌치 크로와상,빵류,4800,373,5.9,24.1,42.8,337,,,,
바나나 퍼프,빵류,8000,275,3.9,16.4,28.2,214,,,,
버터 원형 크로와상,빵류,6000,335.5,5.2,19.2,35.3,352,,,,
버터킨벨 크로와상,빵류,3640,336,5.2,19.3,35.3,373,,,,
베이커 크로와상,빵류,3000,366,6.7,22,35.6,462,,,,
베이커 크로와상 스타레이트,빵류,7000,366,6.7,22,35.6,462,,,,
시나몬 휠,빵류,4860,319,4.2,13.3,46.7,269,,,,
애플 패스츄리,빵류,4950,273,3.6,11.6,39.6,274,,,,
초콜릿 롤,빵류,5100,411.5,5.9,24.1,42.8,250,,,,
카야 휠,빵류,4860,322.4,4.4,12.8,47.5,283,,,,
트위스트 바닐라 초콜렛,빵류,4000,304,4.6,15.4,36.8,292,,,,
트위스트 카야 패스츄리,빵류,4000,322.4,4.4,12.8,47.5,283,,,,
파인애플 바,빵류,7200,202.8,3.3,13,31.3,216.8,,,,
팔미에 바닐라향 초콜렛,빵류,4860,290,4.3,14.3,36.3,269,,,,
허니 바베큐 소세지 롤,빵류,8400,269.2,11.4,16.8,18.2,789,,,,
데이비즈랜드 포도주스,과/채주스,750,80,0,0,20,0,,,,
볼파스 엔젤맨 빌커할리니스,기타발효음료,568,24.8,0.4,0,5.8,0,,,,
아사히 마츠야 사이다,탄산음료,500,44,0,0,11,8,,,,
자이언트 마이스 머쉬멜로우,캔디류,120,320,8,0,73,10,,,,
유기농 아사이 음료,과/채음료,1890,60,0,1.2,12,15,,,,
베트남 반미빵,빵류,1440,280,11,2.4,54,350,,,,
골드라벨 프리미엄 노니주스,과/채주스,1000,38,0,0,9.5,25,,,,
델 플레쉬 노니주스,과/채주스,1000,38,0,0,9.5,25,,,,
자연에서 노니,과/채주스,500,29,0,0,7.7,0.03,,,,
코코원 노니주스,과/채주스,500,31,0,0,8,30,,,,
업테이크80(완두콩화이버),두류가공품,20000,255,10,0.5,52.5,140,,,,
콜드 브루 커피 콘센트레이트,커피,11340,11,1,0.8,0,8,,,,
유기농 캡틴콤부차 오리지널,유산균음료,400,23.6,0,0,5.9,0,,,,
유기농 캡틴콤부차 진저레몬,유산균음료,400,23.6,0,0,5.9,0,,,,
유기농 캡틴콤부차 카이엔페퍼,유산균음료,400,23.6,0,0,5.9,0,,,,
유기농 캡틴콤부차 캘리포니아 라즈베리,유산균음료,400,23.6,0,0,5.9,0,,,,
골든봉봉아몬드누가어솔티드,캔디류,250,461,10,17,67,17,,,,
골든봉봉아몬드누가어솔티드틴,캔디류,300,457,13,17,63,17,,,,
골든봉봉허니아몬드누가어솔티드,캔디류,350,461,10,17,67,17,,,,
골든봉봉허니아몬드누가어솔티드소프트,캔디류,350,437,10,13,70,13,,,,
골든봉봉허니아몬드누가어솔티드크런치,캔디류,350,472,10,20,63,33,,,,
아몬드누가어솔티드백,캔디류,350,461,10,17,67,17,,,,
프리시아 마쉬멜로우,캔디류,265,323,4.7,0,76,12,,,,
프리시아 메가 마쉬멜로우,캔디류,300,323,4.7,0,76,12,,,,
유에프오 우주 캔디,캔디류,3750,175,0,0,43.7,520,,,,
샘플러 치즈케이크,빵류,454,368,5.29,20.04,41.6,251,,,,
킬모어 씨푸드 살몬 하덕,기타 어육가공품,300,211,15.2,11.8,10.8,1400,,,,
리본츄러스,빵류,1000,140,5,0.7,28,433,,,,
스트레이트츄러스,빵류,1000,140,5,0.7,28,433,,,,
프린카 츄러스,빵류,1000,144,4.8,0.7,28.5,440,,,,
아우가닉 엑스트라 버진 올리브유,올리브유,500,884,0,98.2,0,0,,,,
웨덜스 오리지널 크림 캔디,캔디류,1000,420,0,8,87,410,,,,
드라이드 누들,건면,375,340,3,0,82,50,,,,
부아메라오일,기타식물성유지,25000,760,10,80,0,0,,,,
유기농 레드비트 주스,과/채주스,750,40,1.4,0.27,7.6,28,,,,
야라밸리 딸기 잼,잼,720,260,1,0,64,35,,,,
야라밸리 라즈베리 잼,잼,720,270,1,0,67,20,,,,
야라밸리 마멀레이드,잼,720,265,1,0,65,25,,,,
야라밸리 살구 잼,잼,720,270,0,0,67,15,,,,
쏘머 내츄럴스 브렉퍼스트 스무디,과/채음료,300,214.6,2.4,1.8,47.2,9,,,,
쏘머 내츄럴스 비트루트 선라이즈,과/채주스,300,121.1,1.9,0.3,27.7,107,,,,
쏘머 내츄럴스 오렌지주스,과/채주스,300,88,2.2,0,19.8,9,,,,
쏘머 내츄럴스 치키체리,과/채주스,300,148,1,0.4,35.1,5,,,,
쏘머 내츄럴스 키위 스트로베리,과/채주스,300,148.4,1.2,0.4,35,8,,,,
쏘머 내츄럴스 킹 스피룰리나,과/채주스,300,160.1,1.5,0.5,37.4,23,,,,
쏘머 내츄럴스 패션 트위스트,과/채주스,300,154.7,0.6,0.3,37.4,6,,,,
쏘머 내츄럴스 헤일 케일,과/채주스,300,149.6,0.8,0.4,35.7,7,,,,
와플,빵류,240,324,6.2,19,32,1070,,,,
와플(3107202),빵류,240,324,6.2,19,32,1070,,,,
그로브 아보카도 오일 (250ml),기타식물성유지,250,820,0,91,0,0,,,,
그로브 아보카도 오일 라임,향미유,250,820,0,91,0,0,,,,
그로브 아보카도 오일 마늘향,향미유,250,820,0,91,0,0,,,,
리파인드 아보카도 오일,기타식물성유지,1000000,856.8,0,95.2,0,0,,,,
칼퓨어 아보카도 오일 엑스트라 버진 (250ml),기타식물성유지,250,900,0,100,0,0,,,,
엑스트라버진 아보카도 오일 500ml,기타식물성유지,500,855,0,95,0,0,,,,
유기농 엑스트라버진 아보카도 오일,기타 식용유지가공품,208000,816,0,95.2,0,0,,,,
엑스트라 버진 올리브 오일 페란자나,올리브유,250,828,0,92,0,0,,,,
라보티니 퍼 콘디어 에프에스 17 엑스트라버진 올리브유,올리브유,250,900,0,99.9,0,0,,,,
비올라 엑스트라 버진 올리브오일 인프리비오 (500ml),올리브유,500,828,0,92,0,0,,,,
비올라 엑스트라 버진 올리브오일(500ml),올리브유,500,828,0,92,0,0,,,,
알베르토 엑스트라 버진 레몬 올리브오일,향미유,250,282,0,92,0,0,,,,
알베르토 올리오 엑스트라 버진 올리브오일(250ml),올리브유,250,846,0,94,0,0,,,,
데 카를로 오리키 트륄로 엑스트라 버진 오일 100ml (183363),올리브유,100,828,0,92,0,0,,,,
드 카를로 성 마르티노 엑스트라버진 올리브 오일 (3083),올리브유,250,824.4,0,91.6,0,0,,,,
드 카를로 체리토마토 올리브 절임(3084),절임식품,250,824.4,0,91.6,0,0,,,,
