상품명,가격,행사 정보,이미지 주소
쫄깃롤만두180G,"3,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801123727742_001.jpg
의성마늘매콤왕교자140G,"4,300",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801123726905_004.jpg
떡잎마을방범대야끼소바,"4,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809860730452_001.jpg
키리모찌우동,"5,500",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809860730285_001.jpg
직화닭발150G,"9,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045931036_002.jpg
칠리새우200G,"9,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045931630_002.jpg
딤섬새우슈마이135G,"4,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045933450_002.jpg
새우볶음밥230G,"4,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045941103_001.jpg
진라면볶음밥230G,"4,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045146980_001.jpg
참치김치치즈볶음밥230G,"4,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045931234_003.jpg
컵피자콤비네이션150G,"4,300",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045750217_001.jpg
불고기피자UNO180G,"6,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801045751245_001.jpg
비비고찐만두168G,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007429298_002.jpg
비비고찐만두청양고추168G,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007537740_002.jpg
육즙불고기찐만두168G,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801007928906_001.jpg
